Region,Total Population,Land Area,Population Density
Kentucky,4505836,39486.38,114.1111441
Adair County Kentucky,18903,405.28,46.64182787
Allen County Kentucky,20588,344.34,59.7897427
Anderson County Kentucky,23852,201.83,118.1786652
Ballard County Kentucky,7728,246.66,31.3305765
Barren County Kentucky,44485,487.54,91.24379538
Bath County Kentucky,12750,278.79,45.73334768
Bell County Kentucky,24097,359,67.12256267
Boone County Kentucky,135968,246.36,551.9077772
Bourbon County Kentucky,20252,289.72,69.90197432
Boyd County Kentucky,48261,159.86,301.8954085
Boyle County Kentucky,30614,180.17,169.9173003
Bracken County Kentucky,8400,205.61,40.85404406
Breathitt County Kentucky,13718,492.41,27.85889807
Breckinridge County Kentucky,20432,567.17,36.02447238
Bullitt County Kentucky,82217,297.02,276.8062757
Butler County Kentucky,12371,426.09,29.03377221
Caldwell County Kentucky,12649,344.79,36.68609878
Calloway County Kentucky,37103,385.02,96.36642252
Campbell County Kentucky,93076,151.31,615.1344921
Carlisle County Kentucky,4826,189.43,25.47642929
Carroll County Kentucky,10810,128.57,84.07871199
Carter County Kentucky,26627,409.5,65.02319902
Casey County Kentucky,15941,444.23,35.8845643
Christian County Kentucky,72748,717.5,101.3909408
Clark County Kentucky,36972,252.46,146.4469619
Clay County Kentucky,20345,469.25,43.35641982
Clinton County Kentucky,9253,197.25,46.91001267
Crittenden County Kentucky,8990,359.95,24.97569107
Cumberland County Kentucky,5888,305.18,19.29353169
Daviess County Kentucky,103312,458.35,225.3998036
Edmonson County Kentucky,12126,302.88,40.03565769
Elliott County Kentucky,7354,234.32,31.38443155
Estill County Kentucky,14163,253.08,55.96254149
Fayette County Kentucky,322570,283.65,1137.211352
Fleming County Kentucky,15082,348.54,43.27193435
Floyd County Kentucky,35942,393.35,91.37409432
Franklin County Kentucky,51541,207.75,248.0914561
Fulton County Kentucky,6515,205.5,31.70316302
Gallatin County Kentucky,8690,101.23,85.84411736
Garrard County Kentucky,16953,230.08,73.68306676
Grant County Kentucky,24941,257.97,96.6817847
Graves County Kentucky,36649,551.74,66.4244028
Grayson County Kentucky,26420,496.7,53.191061
Green County Kentucky,11107,286.03,38.83159109
Greenup County Kentucky,35962,344.4,104.4192799
Hancock County Kentucky,9095,187.65,48.46789235
Hardin County Kentucky,110702,623.28,177.6119882
Harlan County Kentucky,26831,465.83,57.59826546
Harrison County Kentucky,18692,306.36,61.0131871
Hart County Kentucky,19288,412.09,46.80530952
Henderson County Kentucky,44793,436.67,102.5786063
Henry County Kentucky,15678,286.28,54.76456616
Hickman County Kentucky,4521,242.27,18.66099806
Hopkins County Kentucky,45423,542,83.80627306
Jackson County Kentucky,12955,345.2,37.52896871
Jefferson County Kentucky,782969,380.42,2058.169917
Jessamine County Kentucky,52991,172.12,307.8724146
Johnson County Kentucky,22680,261.95,86.58140867
Kenton County Kentucky,169064,160.25,1055.00156
Knott County Kentucky,14251,351.52,40.54107874
Knox County Kentucky,30193,386.3,78.15946156
Larue County Kentucky,14867,261.52,56.84842459
Laurel County Kentucky,62613,433.95,144.2862081
Lawrence County Kentucky,16293,415.6,39.20356112
Lee County Kentucky,7395,208.86,35.40649239
Leslie County Kentucky,10513,400.84,26.22742241
Letcher County Kentucky,21548,337.91,63.76845906
Lewis County Kentucky,13080,482.84,27.08971916
Lincoln County Kentucky,24275,334.1,72.65788686
Livingston County Kentucky,8888,313.13,28.3843771
Logan County Kentucky,27432,552.13,49.68395124
Lyon County Kentucky,8680,213.84,40.59109615
McCracken County Kentucky,67875,248.74,272.8752915
McCreary County Kentucky,16888,426.8,39.56888472
McLean County Kentucky,9152,252.47,36.24985147
Madison County Kentucky,92701,437.29,211.9897551
Magoffin County Kentucky,11637,308.44,37.72856958
Marion County Kentucky,19581,343.01,57.08579925
Marshall County Kentucky,31659,301.25,105.0921162
Martin County Kentucky,11287,229.61,49.15726667
Mason County Kentucky,17120,240.13,71.29471536
Meade County Kentucky,30003,305.42,98.23521708
Menifee County Kentucky,6113,203.59,30.02603271
Mercer County Kentucky,22641,248.8,91.00080386
Metcalfe County Kentucky,10286,289.65,35.51182462
Monroe County Kentucky,11338,329.37,34.42329295
Montgomery County Kentucky,28114,197.37,142.4431271
Morgan County Kentucky,13726,381.13,36.01395849
Muhlenberg County Kentucky,30928,467.08,66.21563758
Nelson County Kentucky,46738,417.51,111.9446241
Nicholas County Kentucky,7537,195.17,38.61761541
Ohio County Kentucky,23772,587.27,40.47882575
Oldham County Kentucky,67607,187.22,361.1099242
Owen County Kentucky,11278,351.1,32.12190259
Owsley County Kentucky,4051,197.41,20.52074363
Pendleton County Kentucky,14644,277.16,52.83590706
Perry County Kentucky,28473,339.67,83.82547767
Pike County Kentucky,58669,786.83,74.56375583
Powell County Kentucky,13129,178.98,73.35456476
Pulaski County Kentucky,65034,658.41,98.77431995
Robertson County Kentucky,2193,99.91,21.94975478
Rockcastle County Kentucky,16037,316.55,50.66182278
Rowan County Kentucky,24662,279.8,88.14152966
Russell County Kentucky,17991,253.66,70.92564851
Scott County Kentucky,57155,281.77,202.8427441
Shelby County Kentucky,48065,379.64,126.6067854
Simpson County Kentucky,19594,234.2,83.66353544
Spencer County Kentucky,19490,186.68,104.4032569
Taylor County Kentucky,26023,266.33,97.70960838
Todd County Kentucky,12243,374.5,32.69158879
Trigg County Kentucky,14061,441.43,31.85329497
Trimble County Kentucky,8474,151.65,55.87866799
Union County Kentucky,13668,342.85,39.86583054
Warren County Kentucky,134554,541.6,248.4379616
Washington County Kentucky,12027,297.27,40.45816934
Wayne County Kentucky,19555,458.17,42.68066438
Webster County Kentucky,13017,331.94,39.21491836
Whitley County Kentucky,36712,437.83,83.84989608
Wolfe County Kentucky,6562,222.17,29.53594
Woodford County Kentucky,26871,188.78,142.3402903
